Terms,http://www.xe.com/legal/dfs.php,Privacy,http://www.xe.com/privacy.php
from,amount,timestamp,quotecurrency,mid
GBP,1.0,2023-10-03T00:00:00Z,AED,4.4402465083
GBP,1.0,2023-10-03T00:00:00Z,AFN,94.2978671465
GBP,1.0,2023-10-03T00:00:00Z,ALL,122.538304449
GBP,1.0,2023-10-03T00:00:00Z,AMD,480.020700658
GBP,1.0,2023-10-03T00:00:00Z,ANG,2.1658195142
GBP,1.0,2023-10-03T00:00:00Z,AOA,1009.4064739981
GBP,1.0,2023-10-03T00:00:00Z,ARS,423.177957619
GBP,1.0,2023-10-03T00:00:00Z,AUD,1.90026968
GBP,1.0,2023-10-03T00:00:00Z,AWG,2.1642045609
GBP,1.0,2023-10-03T00:00:00Z,AZN,2.0553251186
GBP,1.0,2023-10-03T00:00:00Z,BAM,2.2562866888
GBP,1.0,2023-10-03T00:00:00Z,BBD,2.4181056546
GBP,1.0,2023-10-03T00:00:00Z,BDT,133.3254016106
GBP,1.0,2023-10-03T00:00:00Z,BGN,2.2562866888
GBP,1.0,2023-10-03T00:00:00Z,BHD,0.4546038631
GBP,1.0,2023-10-03T00:00:00Z,BIF,3439.7043994796
GBP,1.0,2023-10-03T00:00:00Z,BMD,1.2090528273
GBP,1.0,2023-10-03T00:00:00Z,BND,1.6606140403
GBP,1.0,2023-10-03T00:00:00Z,BOB,8.3533753839
GBP,1.0,2023-10-03T00:00:00Z,BRL,6.1214631879
GBP,1.0,2023-10-03T00:00:00Z,BSD,1.2090528273
GBP,1.0,2023-10-03T00:00:00Z,BTN,100.776629437
GBP,1.0,2023-10-03T00:00:00Z,BWP,16.6466740976
GBP,1.0,2023-10-03T00:00:00Z,BYN,3.9956311994
GBP,1.0,2023-10-03T00:00:00Z,BZD,2.4370207842
GBP,1.0,2023-10-03T00:00:00Z,CAD,1.6536082163
GBP,1.0,2023-10-03T00:00:00Z,CDF,3015.8602599262
GBP,1.0,2023-10-03T00:00:00Z,CHF,1.1098948495
GBP,1.0,2023-10-03T00:00:00Z,CLF,0.0303472104
GBP,1.0,2023-10-03T00:00:00Z,CLP,1098.6202591463
GBP,1.0,2023-10-03T00:00:00Z,CNH,8.8552779728
GBP,1.0,2023-10-03T00:00:00Z,CNY,8.7638543322
GBP,1.0,2023-10-03T00:00:00Z,COP,5035.4068759826
GBP,1.0,2023-10-03T00:00:00Z,CRC,650.666377672
GBP,1.0,2023-10-03T00:00:00Z,CUC,1.2090528273
GBP,1.0,2023-10-03T00:00:00Z,CUP,29.0290147777
GBP,1.0,2023-10-03T00:00:00Z,CVE,127.2097949078
GBP,1.0,2023-10-03T00:00:00Z,CZK,28.1876829548
GBP,1.0,2023-10-03T00:00:00Z,DJF,214.9689395437
GBP,1.0,2023-10-03T00:00:00Z,DKK,8.603647602
GBP,1.0,2023-10-03T00:00:00Z,DOP,68.6769038423
GBP,1.0,2023-10-03T00:00:00Z,DZD,166.6824546804
GBP,1.0,2023-10-03T00:00:00Z,EGP,37.3947811666
GBP,1.0,2023-10-03T00:00:00Z,ERN,18.1357924098
GBP,1.0,2023-10-03T00:00:00Z,ETB,67.4066273068
GBP,1.0,2023-10-03T00:00:00Z,EUR,1.1536210656
GBP,1.0,2023-10-03T00:00:00Z,FJD,2.7539351047
GBP,1.0,2023-10-03T00:00:00Z,FKP,1.0
GBP,1.0,2023-10-03T00:00:00Z,GBP,1.0
GBP,1.0,2023-10-03T00:00:00Z,GEL,3.2401746225
GBP,1.0,2023-10-03T00:00:00Z,GGP,1.0
GBP,1.0,2023-10-03T00:00:00Z,GHS,14.0245755827
GBP,1.0,2023-10-03T00:00:00Z,GIP,1.0
GBP,1.0,2023-10-03T00:00:00Z,GMD,78.299740717
GBP,1.0,2023-10-03T00:00:00Z,GNF,10463.1674727277
GBP,1.0,2023-10-03T00:00:00Z,GTQ,9.5023050869
GBP,1.0,2023-10-03T00:00:00Z,GYD,252.604671563
GBP,1.0,2023-10-03T00:00:00Z,HKD,9.4690297441
GBP,1.0,2023-10-03T00:00:00Z,HNL,29.8686204194
GBP,1.0,2023-10-03T00:00:00Z,HTG,163.9009454161
GBP,1.0,2023-10-03T00:00:00Z,HUF,448.6528455371
GBP,1.0,2023-10-03T00:00:00Z,IDR,18785.5160693264
GBP,1.0,2023-10-03T00:00:00Z,ILS,4.6392884967
GBP,1.0,2023-10-03T00:00:00Z,IMP,1.0
GBP,1.0,2023-10-03T00:00:00Z,INR,100.776629437
GBP,1.0,2023-10-03T00:00:00Z,IQD,1583.8073086986
GBP,1.0,2023-10-03T00:00:00Z,IRR,50889.7017271855
GBP,1.0,2023-10-03T00:00:00Z,ISK,169.2403707865
GBP,1.0,2023-10-03T00:00:00Z,JEP,1.0
GBP,1.0,2023-10-03T00:00:00Z,JMD,187.2209394783
GBP,1.0,2023-10-03T00:00:00Z,JOD,0.8572184546
GBP,1.0,2023-10-03T00:00:00Z,JPY,181.1923823978
GBP,1.0,2023-10-03T00:00:00Z,KES,179.3220218176
GBP,1.0,2023-10-03T00:00:00Z,KGS,107.2549618523
GBP,1.0,2023-10-03T00:00:00Z,KHR,4993.2203186558
GBP,1.0,2023-10-03T00:00:00Z,KMF,567.5443600139
GBP,1.0,2023-10-03T00:00:00Z,KPW,1088.1329522741
GBP,1.0,2023-10-03T00:00:00Z,KRW,1638.2681067313
GBP,1.0,2023-10-03T00:00:00Z,KWD,0.3739953524
GBP,1.0,2023-10-03T00:00:00Z,KYD,0.9926827142
GBP,1.0,2023-10-03T00:00:00Z,KZT,577.4551277207
GBP,1.0,2023-10-03T00:00:00Z,LAK,24929.2258253728
GBP,1.0,2023-10-03T00:00:00Z,LBP,18178.8527702885
GBP,1.0,2023-10-03T00:00:00Z,LKR,392.5574477379
GBP,1.0,2023-10-03T00:00:00Z,LRD,226.6238817638
GBP,1.0,2023-10-03T00:00:00Z,LSL,23.2379015215
GBP,1.0,2023-10-03T00:00:00Z,LYD,5.9120185307
GBP,1.0,2023-10-03T00:00:00Z,MAD,12.497800526
GBP,1.0,2023-10-03T00:00:00Z,MDL,22.0608805579
GBP,1.0,2023-10-03T00:00:00Z,MGA,5478.8573646484
GBP,1.0,2023-10-03T00:00:00Z,MKD,70.9663519174
GBP,1.0,2023-10-03T00:00:00Z,MMK,2541.313626459
GBP,1.0,2023-10-03T00:00:00Z,MNT,4196.1015506442
GBP,1.0,2023-10-03T00:00:00Z,MOP,9.7531006365
GBP,1.0,2023-10-03T00:00:00Z,MRU,46.050018899
GBP,1.0,2023-10-03T00:00:00Z,MUR,53.7201045314
GBP,1.0,2023-10-03T00:00:00Z,MVR,18.615729722
GBP,1.0,2023-10-03T00:00:00Z,MWK,1306.9532209796
GBP,1.0,2023-10-03T00:00:00Z,MXN,21.37265694
GBP,1.0,2023-10-03T00:00:00Z,MXV,2.6874339533
GBP,1.0,2023-10-03T00:00:00Z,MYR,5.7029780566
GBP,1.0,2023-10-03T00:00:00Z,MZN,77.2475174386
GBP,1.0,2023-10-03T00:00:00Z,NAD,23.2379015215
GBP,1.0,2023-10-03T00:00:00Z,NGN,928.0651446822
GBP,1.0,2023-10-03T00:00:00Z,NIO,44.2008533613
GBP,1.0,2023-10-03T00:00:00Z,NOK,13.1298822948
GBP,1.0,2023-10-03T00:00:00Z,NPR,161.3181895713
GBP,1.0,2023-10-03T00:00:00Z,NZD,2.035042403
GBP,1.0,2023-10-03T00:00:00Z,OMR,0.4654454785
GBP,1.0,2023-10-03T00:00:00Z,PAB,1.2090528273
GBP,1.0,2023-10-03T00:00:00Z,PEN,4.5924193512
GBP,1.0,2023-10-03T00:00:00Z,PGK,4.428758103
GBP,1.0,2023-10-03T00:00:00Z,PHP,68.6072485363
GBP,1.0,2023-10-03T00:00:00Z,PKR,346.8410596435
GBP,1.0,2023-10-03T00:00:00Z,PLN,5.3273835529
GBP,1.0,2023-10-03T00:00:00Z,PYG,8824.5117180933
GBP,1.0,2023-10-03T00:00:00Z,QAR,4.4009522914
GBP,1.0,2023-10-03T00:00:00Z,RON,5.7383623387
GBP,1.0,2023-10-03T00:00:00Z,RSD,135.1950881379
GBP,1.0,2023-10-03T00:00:00Z,RUB,119.5312167174
GBP,1.0,2023-10-03T00:00:00Z,RWF,1467.5289176353
GBP,1.0,2023-10-03T00:00:00Z,SAR,4.5339481024
GBP,1.0,2023-10-03T00:00:00Z,SBD,10.2126641089
GBP,1.0,2023-10-03T00:00:00Z,SCR,15.8729386118
GBP,1.0,2023-10-03T00:00:00Z,SDG,727.2179350538
GBP,1.0,2023-10-03T00:00:00Z,SEK,13.3659917174
GBP,1.0,2023-10-03T00:00:00Z,SGD,1.6606140403
GBP,1.0,2023-10-03T00:00:00Z,SHP,1.0
GBP,1.0,2023-10-03T00:00:00Z,SLE,27.2619484731
GBP,1.0,2023-10-03T00:00:00Z,SLL,27261.9484730688
GBP,1.0,2023-10-03T00:00:00Z,SOS,688.2075532867
GBP,1.0,2023-10-03T00:00:00Z,SPL,0.2015088037
GBP,1.0,2023-10-03T00:00:00Z,SRD,46.2635863796
GBP,1.0,2023-10-03T00:00:00Z,STN,28.3500459919
GBP,1.0,2023-10-03T00:00:00Z,SVC,10.579212239
GBP,1.0,2023-10-03T00:00:00Z,SYP,15719.8965167639
GBP,1.0,2023-10-03T00:00:00Z,SZL,23.2379015215
GBP,1.0,2023-10-03T00:00:00Z,THB,44.7839385696
GBP,1.0,2023-10-03T00:00:00Z,TJS,13.2866424868
GBP,1.0,2023-10-03T00:00:00Z,TMT,4.2239752844
GBP,1.0,2023-10-03T00:00:00Z,TND,3.8504132329
GBP,1.0,2023-10-03T00:00:00Z,TOP,2.888465007
GBP,1.0,2023-10-03T00:00:00Z,TRY,33.2108526389
GBP,1.0,2023-10-03T00:00:00Z,TTD,8.2063531585
GBP,1.0,2023-10-03T00:00:00Z,TVD,1.90026968
GBP,1.0,2023-10-03T00:00:00Z,TWD,39.0673531152
GBP,1.0,2023-10-03T00:00:00Z,TZS,3034.8958332741
GBP,1.0,2023-10-03T00:00:00Z,UAH,44.6505468974
GBP,1.0,2023-10-03T00:00:00Z,UGX,4544.854914865
GBP,1.0,2023-10-03T00:00:00Z,USD,1.2090528273
GBP,1.0,2023-10-03T00:00:00Z,UYU,46.6369052186
GBP,1.0,2023-10-03T00:00:00Z,UZS,14776.4827218635
GBP,1.0,2023-10-03T00:00:00Z,VED,41.5955627304
GBP,1.0,2023-10-03T00:00:00Z,VEF,4159556.2730365936
GBP,1.0,2023-10-03T00:00:00Z,VES,41.5955627304
GBP,1.0,2023-10-03T00:00:00Z,VND,29413.0074533478
GBP,1.0,2023-10-03T00:00:00Z,VUV,148.2464066189
GBP,1.0,2023-10-03T00:00:00Z,WST,3.3590833641
GBP,1.0,2023-10-03T00:00:00Z,XAF,756.7258133519
GBP,1.0,2023-10-03T00:00:00Z,XAG,0.057842044
GBP,1.0,2023-10-03T00:00:00Z,XAU,0.0006622896
GBP,1.0,2023-10-03T00:00:00Z,XBT,0.0000439024
GBP,1.0,2023-10-03T00:00:00Z,XCD,3.2656866068
GBP,1.0,2023-10-03T00:00:00Z,XDR,0.9246818166
GBP,1.0,2023-10-03T00:00:00Z,XOF,756.7258133519
GBP,1.0,2023-10-03T00:00:00Z,XPD,0.0009942728
GBP,1.0,2023-10-03T00:00:00Z,XPF,137.6636116507
GBP,1.0,2023-10-03T00:00:00Z,XPT,0.0013650349
GBP,1.0,2023-10-03T00:00:00Z,YER,302.6574872837
GBP,1.0,2023-10-03T00:00:00Z,ZAR,23.2379015215
GBP,1.0,2023-10-03T00:00:00Z,ZMW,25.4919061614
GBP,1.0,2023-10-03T00:00:00Z,ZWD,437.5562182063
GBP,1.0,2023-10-03T00:00:00Z,ZWL,6688.4204135511
